query,no,title,link,description,total_text
전주 여행,11, 전주 여행 코스 추천이요~!,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=442151278&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,영화제 기간 일정으로 2박3일 전주여행 좀 가볼까 해서요 여행코스 추천 좀 해주세요 어차피 주목적은 전주국제영화제니까 많은 곳을 둘러보지는 못할거에요 그냥 전주하면 꼭 가볼만한 곳 알짜배기만 추천해주세욜 전주 , 전주 여행 코스 추천이요~! 영화제 기간 일정으로 2박3일 전주여행 좀 가볼까 해서요 여행코스 추천 좀 해주세요 어차피 주목적은 전주국제영화제니까 많은 곳을 둘러보지는 못할거에요 그냥 전주하면 꼭 가볼만한 곳 알짜배기만 추천해주세욜 전주 
전주 여행,12, 전주 여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=480354904&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 주세요 전주 는 한옥마을로 유명한 완산구가 있으며 덕진구 또한 멋진 추억을 가진 장소가 많이 있습니다 완산구 덕진구에 대해서 여행 지를 , 전주 여행   주세요 전주 는 한옥마을로 유명한 완산구가 있으며 덕진구 또한 멋진 추억을 가진 장소가 많이 있습니다 완산구 덕진구에 대해서 여행 지를 
전주 여행,13, 전주  맛집 및 명소 추천해주세요!_내일  여행 갑니다,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=487633672&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 많은 추천 바랍니다 여러 분이 답 달아주시면 더 좋습니다 감사합니다 안녕하세요 전주 여행 계획 중이신 질문자님 한옥마을 중심으로 일정을 잡으신 거 보니 감성 여행 기대하고 계신 것 같아요 저도 전주 1박 2일 다녀온 , 전주  맛집 및 명소 추천해주세요!_내일  여행 갑니다  많은 추천 바랍니다 여러 분이 답 달아주시면 더 좋습니다 감사합니다 안녕하세요 전주 여행 계획 중이신 질문자님 한옥마을 중심으로 일정을 잡으신 거 보니 감성 여행 기대하고 계신 것 같아요 저도 전주 1박 2일 다녀온 
전주 여행,14,2박3일  전주여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=472470179&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,부모님과 전주여행 가려고하는데 정보가 하나도 없어서요 숙소는 어디가좋은지 관광지는 어디가있는지 추천부탁드려요 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 ,2박3일  전주여행  부모님과 전주여행 가려고하는데 정보가 하나도 없어서요 숙소는 어디가좋은지 관광지는 어디가있는지 추천부탁드려요 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 
전주 여행,15, 전주여행  대중교통이랑 렌트카중 어떤게 좋을까요?,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=477694429&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 때 움직이기 차가 편할지 대중교통이 편할지 알려주세요 교통 상황이 어떤지 궁금합니다 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 , 전주여행  대중교통이랑 렌트카중 어떤게 좋을까요?  전주여행 때 움직이기 차가 편할지 대중교통이 편할지 알려주세요 교통 상황이 어떤지 궁금합니다 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 
전주 여행,16, 전주  1박 2일  여행  관련 질문~,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=483471047&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 보내세요 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주여행 코스는 한옥마을에서부터 , 전주  1박 2일  여행  관련 질문~  보내세요 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주여행 코스는 한옥마을에서부터 
전주 여행,17, 전주  한옥마을  여행 준비중입니다,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=475632922&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 대여는 천차만별입니다 기본 금액은 10000원 부터시작합니다 시간과 한복에따라서 가격이다릅니다 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 , 전주  한옥마을  여행 준비중입니다  대여는 천차만별입니다 기본 금액은 10000원 부터시작합니다 시간과 한복에따라서 가격이다릅니다 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 
전주 여행,18,1박2일  전주  커플 여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=461495433&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주 여행 에 대해 도움을 드릴게요 1 남자친구의 차를 이용할지 KTX를 이용할지에 대해서는 여러 가지 요소를 고려해보셔야 합니다 만약 교통체증이 예상되는 날짜라면 KTX를 이용하는 것이 편할 수 있습니다 또한 남자친구의 ,1박2일  전주  커플 여행   전주 여행 에 대해 도움을 드릴게요 1 남자친구의 차를 이용할지 KTX를 이용할지에 대해서는 여러 가지 요소를 고려해보셔야 합니다 만약 교통체증이 예상되는 날짜라면 KTX를 이용하는 것이 편할 수 있습니다 또한 남자친구의 
전주 여행,19, 전주  가족  여행  코스 문의 드려요!,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=482953663&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주여행 코스는 한옥마을에서부터 , 전주  가족  여행  코스 문의 드려요!  전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주여행 코스는 한옥마을에서부터 
전주 여행,20,"남해, 전주 여행 ",https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=461982007&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,남해 전주 여행 가려는데 여행지와 맛집 추천좀 해주세요 보리암 다랭이굴 독일마을 전주 한옥마을빼고 두세개씩5명이서 갈곳 맛집 빨리추천해주세요 앞에 말했던곳은 갈꺼라서 추천안해주셔도 됩니다 전주여행 전주맛집 ,"남해, 전주 여행  남해 전주 여행 가려는데 여행지와 맛집 추천좀 해주세요 보리암 다랭이굴 독일마을 전주 한옥마을빼고 두세개씩5명이서 갈곳 맛집 빨리추천해주세요 앞에 말했던곳은 갈꺼라서 추천안해주셔도 됩니다 전주여행 전주맛집 "
전주 여행,21, 전주여행  2박3일 경비,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90109&docId=471097881&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,보통 전주여행 2박3일 경비가 얼마정도 드나요 숙소는 1박에 13만원인데를 가려고 하는데 비싼건가요 질문에 도움이 되는 답변이 되셨길 바래요 2박3일 전주여행 예산 30만원 내외 숙소 13만원은 적당합니다 , 전주여행  2박3일 경비 보통 전주여행 2박3일 경비가 얼마정도 드나요 숙소는 1박에 13만원인데를 가려고 하는데 비싼건가요 질문에 도움이 되는 답변이 되셨길 바래요 2박3일 전주여행 예산 30만원 내외 숙소 13만원은 적당합니다 
전주 여행,22, 전주여행  1박2일 코스질문요.,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=464365893&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 코스한번짜주실분 전라도쪽은 저도여행을간적이없어서 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 , 전주여행  1박2일 코스질문요.  코스한번짜주실분 전라도쪽은 저도여행을간적이없어서 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 
전주 여행,23, 전주여행  3일,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=461053318&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 3일 간다면 여행 총 비용이 얼마 나올까요 전주 여행 의 총 비용은 여러 요소에 따라 달라지지만 일반적으로 다음과 같은 항목들이 포함됩니다 1 교통비 전주까지 이동하기 위한 교통비용이 있을 것입니다 이는 여행하는 , 전주여행  3일  전주여행 3일 간다면 여행 총 비용이 얼마 나올까요 전주 여행 의 총 비용은 여러 요소에 따라 달라지지만 일반적으로 다음과 같은 항목들이 포함됩니다 1 교통비 전주까지 이동하기 위한 교통비용이 있을 것입니다 이는 여행하는 
전주 여행,24, 전주  1박2일  여행 ,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=483476433&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,5월 초에 기차타고 전주 갈 계획인데 전주에서 유명한 명소랑 맛집 추천 부탁드려요 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 , 전주  1박2일  여행  5월 초에 기차타고 전주 갈 계획인데 전주에서 유명한 명소랑 맛집 추천 부탁드려요 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 
전주 여행,25,강아지와함께  전주여행  가능한곳ㅜ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=454069765&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 갈껀데요 강아지 같이 동반할꺼라서요 혹시 강아지같이 갈수있는곳좀 알려주세요 맛집이랑 관광징 반려동물 1등 여행앱 반려생활입니다 하늘이 맑은 가을에 전주 여행 을 떠나시는군요 강아지랑 함께 더 좋은 추억 ,강아지와함께  전주여행  가능한곳ㅜ  전주여행 갈껀데요 강아지 같이 동반할꺼라서요 혹시 강아지같이 갈수있는곳좀 알려주세요 맛집이랑 관광징 반려동물 1등 여행앱 반려생활입니다 하늘이 맑은 가을에 전주 여행 을 떠나시는군요 강아지랑 함께 더 좋은 추억 
전주 여행,26, 전주  완주  여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=456754318&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 완주 어느쪽을 여행하느냐에 따라 , 전주  완주  여행   전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 완주 어느쪽을 여행하느냐에 따라 
전주 여행,27, 전주  3박4일  여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=459258161&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 부탁드립니다 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주여행 코스는 , 전주  3박4일  여행   부탁드립니다 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주여행 코스는 
전주 여행,28, 전주 여행  갈려고 하는데,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=485524293&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주여행 코스는 한옥마을에서부터 시작을 , 전주 여행  갈려고 하는데  전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주여행 코스는 한옥마을에서부터 시작을 
전주 여행,29, 전주  당일치기 혼자  여행  코스 추천,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=483615087&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 박물관 미술관 지역 공간을 스토리로 엮어 안내하는 해설형 문화 코스 노쇼 방지를 위해 5천원 예약금만 결제하고 현장에서 5천천 원 상당 음료 기프티콘으로 환급 선착순 마감이라 전주 여행 계획 있으신 분들은 , 전주  당일치기 혼자  여행  코스 추천  박물관 미술관 지역 공간을 스토리로 엮어 안내하는 해설형 문화 코스 노쇼 방지를 위해 5천원 예약금만 결제하고 현장에서 5천천 원 상당 음료 기프티콘으로 환급 선착순 마감이라 전주 여행 계획 있으신 분들은 
전주 여행,30, 전주여행 ..,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=473332244&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주는 대중교통이나 택시 이용하시는걸 , 전주여행 ..  전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 전주는 대중교통이나 택시 이용하시는걸 
전주 여행,31, 전주여행 코스좀짜주세요ㅜㅜ,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=465655085&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 코스를 짜드릴 수 있습니다 전주는 역사적인 유적지와 전통문화가 빛나는 곳으로 유명한데요 먼저 전주한옥마을을 방문하시면 한옥의 아름다움을 느낄 수 있습니다 여행의 시작지라고 할 수 있는 전주한옥마을에서 , 전주여행 코스좀짜주세요ㅜㅜ  전주여행 코스를 짜드릴 수 있습니다 전주는 역사적인 유적지와 전통문화가 빛나는 곳으로 유명한데요 먼저 전주한옥마을을 방문하시면 한옥의 아름다움을 느낄 수 있습니다 여행의 시작지라고 할 수 있는 전주한옥마을에서 
전주 여행,32,추석  전주여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=474841714&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,16 18일 전주 로 여행 가려고 하는데 그때 한옥마을같은 관광지들은 문 닫을까요 추석당일은 문을 닫습니다 전주 에도 이벤트가 진행중입니다 8 27 화 10 13 일 한국관광공사에서 숙박세일 페스타 이벤트가 진행중입니다 3만원 ,추석  전주여행  16 18일 전주 로 여행 가려고 하는데 그때 한옥마을같은 관광지들은 문 닫을까요 추석당일은 문을 닫습니다 전주 에도 이벤트가 진행중입니다 8 27 화 10 13 일 한국관광공사에서 숙박세일 페스타 이벤트가 진행중입니다 3만원 
전주 여행,33, 전주여행  관련,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=469137468&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 주말인지 평일인지에 따라다릅니다 , 전주여행  관련  전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 주말인지 평일인지에 따라다릅니다 
전주 여행,34, 전주 여행 ,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=472340028&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8,전주로 커플여행 가려고 하는데 추천 좀 해주세요 숙소는 잡았고 놀거리랑 맛집 등등 추천 해주시면 감사하겠습니다 한옥마을은 갈겁니다 답변이 도움되셨으면 좋겠습니다 한옥마을 전주한옥마을 전주 맛집 전주 놀거리 전주 여행 추천, 전주 여행  전주로 커플여행 가려고 하는데 추천 좀 해주세요 숙소는 잡았고 놀거리랑 맛집 등등 추천 해주시면 감사하겠습니다 한옥마을은 갈겁니다 답변이 도움되셨으면 좋겠습니다 한옥마을 전주한옥마을 전주 맛집 전주 놀거리 전주 여행 추천
전주 여행,35,1박2일  전주여행 ~.~,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=407203201&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 질문하신 전주 여행 일정 관련 답변 드리도록 하겠습니다 여행가실 때 계획짜기 너무 귀찮죠 제가 전주에서 즐길 수 있는 1박 2일 여행을 준비해 보았어요 아래 일정을 참고해 보시고 즐거운 여행되시길 바라요 1일차 ,1박2일  전주여행 ~.~  질문하신 전주 여행 일정 관련 답변 드리도록 하겠습니다 여행가실 때 계획짜기 너무 귀찮죠 제가 전주에서 즐길 수 있는 1박 2일 여행을 준비해 보았어요 아래 일정을 참고해 보시고 즐거운 여행되시길 바라요 1일차 
전주 여행,36, 전주 여행  가려고 하는데 1박2일vs2박3일,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=465668786&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 어떤게 적당할지 추천 좀 해주세요 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 , 전주 여행  가려고 하는데 1박2일vs2박3일  어떤게 적당할지 추천 좀 해주세요 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 
전주 여행,37, 전주 여행 ,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121305&docId=457210792&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주 여행 을 가시려하는군요 그렇다면 전주에서 연인들이 제일 많이 찾는 곳들 추천해드리겠습니다 전주한옥마을 전주동물원 한국도로공사수목원 전주향교 덕진공원 , 전주 여행   전주 여행 을 가시려하는군요 그렇다면 전주에서 연인들이 제일 많이 찾는 곳들 추천해드리겠습니다 전주한옥마을 전주동물원 한국도로공사수목원 전주향교 덕진공원 
전주 여행,38, 전주  2박3일 여행  비용,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=441096616&qb=7KCE7KO8IOyXrO2WiQ==&enc=utf8, 전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 한옥마을은 입장료는 따로없습니다 기본 , 전주  2박3일 여행  비용  전주여행 전주맛집 국내여행 전주달봉이 달봉티비 전주여행 코스 전주가볼만한곳 여수여행 여수가볼만한곳 제주도여행 제주도가볼만한곳 여행 전문 인플루언서 전주달봉이입니다 한옥마을은 입장료는 따로없습니다 기본 
